year,mag.binned,n
2011,4.5,10638
2011,5,3207
2011,5.5,722
2011,6,326
2011,6.5,91
2011,7,29
2011,7.5,7
2011,8,1
2012,4.5,9191
2012,5,3056
2012,5.5,596
2012,6,195
2012,6.5,61
2012,7,19
2012,7.5,10
2012,8,2
2013,4.5,9910
2013,5,2865
2013,5.5,661
2013,6,212
2013,6.5,69
2013,7,27
2013,7.5,8
2013,8,2
2013,8.5,1
2014,4.5,12403
2014,5,2976
2014,5.5,714
2014,6,227
2014,6.5,75
2014,7,23
2014,7.5,7
2014,8,2
2015,4.5,10807
2015,5,2714
2015,5.5,676
2015,6,219
2015,6.5,76
2015,7,31
2015,7.5,9
2015,8,3
2015,8.5,1
2016,4.5,11191
2016,5,2869
2016,5.5,714
2016,6,239
2016,6.5,75
2016,7,26
2016,7.5,8
2016,8,5
2017,4.5,9526
2017,5,2674
2017,5.5,652
2017,6,185
2017,6.5,63
2017,7,16
2017,7.5,5
2017,8,2
2018,4.5,11062
2018,5,3041
2018,5.5,746
2018,6,220
2018,6.5,71
2018,7,25
2018,7.5,9
2018,8,3
2019,4.5,10447
2019,5,2963
2019,5.5,675
2019,6,219
2019,6.5,69
2019,7,15
2019,7.5,5
2019,8,1
2020,4.5,10018
2020,5,2606
2020,5.5,640
2020,6,190
2020,6.5,53
2020,7,16
2020,7.5,6
2020,8,1
2021,4.5,13376
2021,5,3763
2021,5.5,898
2021,6,259
2021,6.5,61
2021,7,24
2021,7.5,11
2021,8,2
